Nombre,Puntuación,Precio,Estrellas,Llaves,Direccion,ciudad,web,Puntuacion
Leflet Valme,8.7,79 €,3 estrellas,0 llaves,Dos Hermanas,Sevilla,Amimir,
Hotel Bécquer,9.0,121 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Duquesa Hotel,7.8,50 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Pension Santa Maria La Blanca,3.5,69 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Eurostars Guadalquivir,9.3,102 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Ribera de Triana,8.8,105 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Dona Maria,8.6,150 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Pensión Vergara,5.8,32 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Occidental Sevilla Viapol,9.0,115 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hoteles Del Sur,8.3,62 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
Hotel Leflet Sanlúcar,8.1,48 €,3 estrellas,0 llaves,Sanlúcar la Mayor,Sevilla,Amimir,
Apartamentos Luxsevilla Palacio,6.8,60 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
Apartamentos Magna Sevilla,7.5,75 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
La Casa del Maestro,9.1,84 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Exe Sevilla Palmera,8.5,64 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Convento La Gloria,8.1,118 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Casa Bailén Apartamentos,9.4,141 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Apartamentos Santiago by OYO Rooms,8.6,58 €,2 estrellas,0 llaves,Écija,Sevilla,Amimir,
Casa Romana Hotel Boutique,9.0,100 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Sercotel Las Casas de los Mercaderes,8.7,134 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hostal Santa Catalina,8.1,55 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
EME Catedral Mercer,8.2,183 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Ritual Sevilla Suites - Centro Historico,8.6,149 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Halo Boutique Hotel,8.5,152 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Iberflat Vega de Triana,8.4,80 €,0 estrellas,3 llaves,Camas,Sevilla,Amimir,
Hotel Plaza Sevilla,8.1,56 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
U-Sense Sevilla Centro,9.4,96 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Monte Carmelo,9.5,96 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Sevilla Central Suites Apartamentos,9.3,163 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
El Rey Moro Hotel,8.9,375 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Fontecruz Sevilla Seises,8.4,206 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Casa Senorial Del Siglo XVIII,9.0,122 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Pierre & Vacances Sevilla,8.7,95 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Casa Alhaja By Shiadu,9.2,202 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Boutique Casas de Santa Cruz,8.0,118 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hostal San Francisco,8.5,222 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Abril,9.0,82 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Legado Oromana Hotel,6.3,43 €,3 estrellas,0 llaves,Alcalá de Guadaira,Sevilla,Amimir,
San Gil,7.4,87 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Casa Gloria Apartments,9.2,128 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Palace Sevilla,8.2,78 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Murillo Hotel,8.4,98 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Sevilla 1920 Suites,9.0,94 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
La Hostería de Doña Lina,8.7,71 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
America,8.7,145 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Soho Boutique Catedral,9.1,143 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Elvira Plaza,8.2,115 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Ocean Drive Sevilla,8.8,119 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Joya del Casco Boutique Hotel,9.2,183 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
B&b Hotel Sevilla Bormujos,8.8,62 €,2 estrellas,0 llaves,Bormujos,Sevilla,Amimir,
Murillo Hotel & Apartamentos,8.8,88 €,0 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Casa Palacio Don Pedro,8.7,62 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Oak & Sandstone,9.0,188 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Hostal Lis,7.5,45 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel H28 Camas,7.0,53 €,3 estrellas,0 llaves,Camas,Sevilla,Amimir,
Welldone Cathedral,8.3,162 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
