Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Exclusivo Tapas El Tubo Checkin 24h Centro 1,9.4,182.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,exclusivo tapas tubo checkin h centro
Check-in 24h Nuevo Único Wifi Familiar Centro 3,9.4,186.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,check in h nuevo unico wifi familiar centro
Check-in 24h Plaza España Amplio Centro 4,9.3,186.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,check in h plaza españa amplio centro
Fantastica Buhardilla Pz. Pilar,8.9,89.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,fantastica buhardilla pz. pilar
Moderno Nuevo Luminoso Wi-fi Plaza Del Pilar 2,9.1,188.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,moderno nuevo luminoso wi fi plaza pilar
Apartamento Nolasco,8.7,180.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,nolasco
Ático Acogedor Lujoso Check-in 24h Penthouse 5,8.8,183.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,atico acogedor lujoso check in h penthouse
Hostal Plaza,8.8,74.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,plaza
Apartamento Azabache,9.5,185.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,azabache
Apartamento Junto A La Basilica Del Pilar,7.9,130.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,junto a basilica pilar
Ático Cierzo Nuevo Duplex Terraza Wifi 1 Br,8.2,180.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,atico cierzo nuevo duplex terraza wifi br
Torre Mudejar,8.7,108.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,torre mudejar
Apartamento Con Jacuzzi El Rincón De Las Delicias,9.7,156.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,con jacuzzi rincon las delicias
Pasarela Almozara Home,9.1,126.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,pasarela almozara home
Apartamento Con Vistas Al Pilar Con Aparcamiento Privado,9.2,192.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,con vistas al pilar con aparcamiento privado
Casa Goya Vírgenes,8.5,179.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa goya virgenes
Apartamento Cerca Del Pilar,8.4,144.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,cerca pilar
Casa Estébanes 2 Br Premium Familiar 7 Pax,8.7,275.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa estebanes br premium familiar pax
Apartamento Zaragoza Plaza Europa,8.0,240.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,plaza europa
B&B HOTEL Zaragoza Plaza Mozart,8.4,52.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,b&b plaza mozart
Hostal Puente De Piedra,8.6,35.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,puente piedra
La Parada De La Estacion Con Parking,9.6,198.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,parada estacion con parking
Zaragoza Y Sus 2 Catedrales,8.6,98.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,sus catedrales
Casa Augusta Renovada Centro Histórico 5 Pax,,205.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa augusta renovada centro historico pax
Loft Loarre Estudio Premium Renovado 5 Pax,8.3,141.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,loft loarre estudio premium renovado pax
Precioso Piso-apartamento En Barrio De Zaragoza,7.9,59.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,precioso piso
Apartamento Zaragoza Picarral,8.6,235.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,picarral
Casa Cosmos Arcade Wifi 4 Huéspedes,,225.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa cosmos arcade wifi huespedes
Hotel Monumento Almenara de Copau,9.1,143.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,monumento almenara copau
Inmejorable Apartamento Cerca Estación Delicias Con Garaje,8.5,315.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,inmejorable cerca estacion delicias con garaje
Rnr Bednbreakfast,8.6,40.0,0 estrellas,0 llaves,Caspe,Amimir,Zaragoza,rnr bednbreakfast
Ático Alfonso Amplio Céntrico Renovado 10 Pax,,230.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,atico alfonso amplio centrico renovado pax
Valeria Dreams - Maestro Luna 4º,,129.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,valeria dreams maestro luna º
"Valeria-dreams Maestro Luna 5,2º",,129.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,valeria dreams maestro luna º
La Parada De Sant Domingo 2,,234.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,parada sant domingo
La Casa De Invitados,8.1,89.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa invitados
Casa Jesús Ps5 Juegos Niños Wifi 6 Pax,9.2,217.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa jesus ps juegos niños wifi pax
La Casa Contenedor,7.4,96.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,casa contenedor
Apartamentos Zaragoza Reconquista 3000,8.7,105.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,reconquista
Villa Sa Calma,9.3,750.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,sa calma
Eurostars Zaragoza,8.4,58.0,4,,Zaragoza,Booking,Zaragoza,eurostars
Hotel Gran Via,8.2,60.0,3,,"Centro, Zaragoza",Booking,Zaragoza,gran via
Hostal Puente de Piedra,8.3,35.0,3,,Zaragoza,Booking,Zaragoza,puente piedra
Exe Boston,8.3,76.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,exe boston
B&B HOTEL Zaragoza Royal,7.6,53.0,3,,"Centro, Zaragoza",Booking,Zaragoza,b&b royal
Hotel Delicias,7.8,60.0,2,,"Delicias, Zaragoza",Booking,Zaragoza,delicias
Hotel Diagonal Plaza,8.7,81.0,4,,Zaragoza,Booking,Zaragoza,diagonal plaza
Hotel Inca,8.7,62.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,inca
NH Collection Gran Hotel de Zaragoza,8.8,114.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,nh collection gran
Exe Zaragoza WTC,8.8,89.0,3,,Zaragoza,Booking,Zaragoza,exe wtc
Ilunion Romareda,8.8,85.0,4,,"Romareda, Zaragoza",Booking,Zaragoza,ilunion romareda
Eurostars Rey Fernando,8.6,71.0,4,,Zaragoza,Booking,Zaragoza,eurostars rey fernando
Silken Reino de Aragón,8.7,135.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,silken reino aragon
VTZ The Orus Factory Hotel - Parking Muy Económico,7.9,60.0,2,,"Delicias, Zaragoza",Booking,Zaragoza,vtz the orus factory parking muy economico
VTZ Hotel El Príncipe,7.9,74.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,vtz principe
Hotel Don Jaime 54,8.4,62.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,don jaime
VTZ Hotel San Valero,8.3,68.0,2,,"Centro histórico, Zaragoza",Booking,Zaragoza,vtz san valero
Hotel Sauce,9.0,69.0,2,,"Centro histórico, Zaragoza",Booking,Zaragoza,sauce
Hotel Goya,7.9,110.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,goya
Aparthotel Los Girasoles,8.8,89.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,girasoles
Sercotel Plaza Feria,8.4,89.0,4,,Zaragoza,Booking,Zaragoza,sercotel plaza feria
VTZ The Botanic Hostel,7.4,23.0,0,,"Centro histórico, Zaragoza",Booking,Zaragoza,vtz the botanic
Hotel YIT Ciudad De Zaragoza,7.7,59.0,3,,Zaragoza,Booking,Zaragoza,yit ciudad
Hotel Hiberus,8.6,131.0,4,,Zaragoza,Booking,Zaragoza,hiberus
Hotel Alfonso,8.5,146.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,alfonso
Hotel & Spa Real Ciudad De Zaragoza,8.2,68.0,4,,Zaragoza,Booking,Zaragoza,& spa real ciudad
Hesperia Zaragoza Centro,8.2,77.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,hesperia centro
VTZ Hotel Plaza España,8.3,69.0,2,,"Centro histórico, Zaragoza",Booking,Zaragoza,vtz plaza españa
Hotel Zentral Ave,8.8,92.0,4,,Zaragoza,Booking,Zaragoza,zentral ave
Exe Plaza Delicias,8.6,77.0,3,,"Delicias, Zaragoza",Booking,Zaragoza,exe plaza delicias
Hostal Arenal,7.2,40.0,3,,"Romareda, Zaragoza",Booking,Zaragoza,arenal
Hotel Reina Petronila,8.6,182.0,5,,"Romareda, Zaragoza",Booking,Zaragoza,reina petronila
Hotel Cogullada,7.2,60.0,2,,Zaragoza,Booking,Zaragoza,cogullada
NH Ciudad de Zaragoza,8.6,114.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,nh ciudad
Hotel Rio Arga,8.0,77.0,2,,"Centro histórico, Zaragoza",Booking,Zaragoza,rio arga
Vincci Zaragoza Zentro,8.6,131.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,vincci zentro
B&B HOTEL Zaragoza Los Enlaces Estación,8.5,68.0,4,,Zaragoza,Booking,Zaragoza,b&b enlaces estacion
B&B HOTEL Zaragoza Plaza Mozart,8.1,57.0,0,,Zaragoza,Booking,Zaragoza,b&b plaza mozart
